General Agriculture 192235 
Agriculture Production And Management 159619
Agricultural Economics 54406
Animal Sciences 252118
Food Science 65105
Plant Science And Agronomy 138912
Soil Science 11152
Veterinary Medicine	6470
Miscellaneous Agriculture	20069
Environmental Science	351352
Forestry	105950
Natural Resources Management	180452
Architecture	624847
Area Ethnic And Civilization Studies	300812
Communications	1941495
Journalism	707381
Mass Media	482084
Advertising And Public Relations	344909
Communication Technologies	137886
Computer And Information Systems	708658
Computer Programming And Data Processing	63863
Computer Science	2074811
Information Sciences	199253
Computer Administration Management And Security	163805
Computer Networking And Telecommunications	98379
Cosmetology Services And Culinary Arts	71658
General Education	3167842
Educational Administration And Supervision	65863
School Student Counseling	32165
Elementary Education	2597019
Mathematics Teacher Education	172135
Physical And Health Education Teaching	460563
Early Childhood Education	397512
Science And Computer Teacher Education	136155
Secondary Teacher Education	387745
Special Needs Education	434844
Social Science Or History Teacher Education	242645
Teacher Education: Multiple Levels	189226
Language And Drama Education	436684
Art And Music Education	460570
Miscellaneous Education	371541
General Engineering	961603
Aerospace Engineering	173065
Biological Engineering	105009
Architectural Engineering	30482
Biomedical Engineering	141670
Chemical Engineering	529482
Civil Engineering	812292
Computer Engineering	574755
Electrical Engineering	1588238
Engineering Mechanics Physics And Science	54356
Environmental Engineering	52962
Geological And Geophysical Engineering	16088
Industrial And Manufacturing Engineering	337718
Materials Engineering And Materials Science	54384
Mechanical Engineering	1426150
Metallurgical Engineering	23976
Mining And Mineral Engineering	21277
Naval Architecture And Marine Engineering	30209
Nuclear Engineering	29958
Petroleum Engineering	44654
Miscellaneous Engineering	152246
Engineering Technologies	89625
Engineering And Industrial Management	74361
Electrical Engineering Technology	176647
Industrial Production Technologies	120659
Mechanical Engineering Related Technologies	55777
Miscellaneous Engineering Technologies	129532
Linguistics And Comparative Language And Literature	188915
French German Latin And Other Common Foreign Language Studies	544601
Other Foreign Languages	145494
Family And Consumer Sciences	720038
Pre-Law And Legal Studies	147996
English Language And Literature	2470675
Composition And Rhetoric	155180
Liberal Arts	1018855
Humanities	92389
Library Science	52704
Biology	2965305
Biochemical Sciences	359773
Botany	44554
Molecular Biology	125432
Ecology	122573
Genetics	32768
Microbiology	211575
Pharmacology	12727
Physiology	179964
Zoology	171541
Neuroscience	126248
Miscellaneous Biology	127415
Mathematics	1101125
Applied Mathematics	81805
Statistics And Decision Science	92743
Military Technologies	8076
Multi/Interdisciplinary Studies	160798
Intercultural And International Studies	173782
Nutrition Sciences	180821
Mathematics And Computer Science	25648
Cognitive Science And Biopsychology	34920
Interdisciplinary Social Sciences	150428
Data Science and Data Analytics	4722
Physical Fitness Parks Recreation And Leisure	1078895
Philosophy And Religious Studies	590339
Theology And Religious Vocations	505786
Physical Sciences	16005
Astronomy And Astrophysics	18287
Atmospheric Sciences And Meteorology	35806
Chemistry	952857
Geology And Earth Science	277934
Geosciences	31772
Oceanography	31292
Physics	458062
Materials Science	42051
Multi-Disciplinary Or General Science	691575
Nuclear, Industrial Radiology, And Biological Technologies	25262
Psychology	4160302
Educational Psychology	43238
Clinical Psychology	46227
Counseling Psychology	99380
Industrial And Organizational Psychology	44306
Social Psychology	18766
Miscellaneous Psychology	97417
Criminal Justice And Fire Protection	1652308
Public Administration	126576
Public Policy	70579
Human Services And Community Organization	176292
Social Work	855439
General Social Sciences	234898
Economics	1752098
Anthropology And Archeology	396315
Criminology	206871
Geography	237339
International Relations	246162
Political Science And Government	1911592
Sociology	1321529
Miscellaneous Social Sciences	43467
Construction Services	182547
Electrical, Mechanical, And Precision Technologies And Production	28910
Transportation Sciences And Technologies	237313
Fine Arts	960081
Drama And Theater Arts	387809
Music	690128
Visual And Performing Arts	121025
Commercial Art And Graphic Design	907035
Film Video And Photographic Arts	304134
Art History And Criticism	196450
Studio Arts	160314
Miscellaneous Fine Arts	37849
General Medical And Health Services	394769
Communication Disorders Sciences And Services	397749
Health And Medical Administrative Services	375210
Medical Assisting Services	132664
Medical Technologies Technicians	294317
Health And Medical Preparatory Programs	162993
Nursing	4005894
Pharmacy Pharmaceutical Sciences And Administration	403014
Treatment Therapy Professions	577604
Community And Public Health	282189
Miscellaneous Health Medical Professions	201119
General Business	3862749
Accounting	3088202
Actuarial Science	33854
Business Management And Administration	5110785
Operations Logistics And E-Commerce	196467
Business Economics	142613
Marketing And Marketing Research	1894118
Finance	1736046
Human Resources And Personnel Management	411566
International Business	222065
Hospitality Management	370752
Management Information Systems And Statistics	337081
Miscellaneous Business And Medical Administration	221573
History	1677119
United States History	36020
